date,usd_jpy,usd_cny,_source,_fetched_at,_run_id
2026-02-25,156.33,,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-02-26,156.11,6.85,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-02-27,156.05,6.863,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-02,157.34,6.9058,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-03,157.71,6.9124,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-04,157.03,6.8951,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-05,157.57,6.9125,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-06,157.79,6.906,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-09,157.64,6.9085,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-10,158.04,6.873,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-11,158.94,6.8749,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-12,159.33,6.8833,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-13,159.71,6.9043,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-16,159.06,6.8908,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-17,158.98,6.885,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-18,159.86,6.8879,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-19,157.72,6.8998,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-20,159.22,6.905,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-23,158.43,6.8795,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-24,158.68,6.8916,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-25,159.46,6.8986,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-26,159.8,6.9101,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-27,160.31,6.9116,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-30,159.72,6.9127,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-03-31,158.71,6.8881,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-01,158.78,6.875,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-02,159.59,6.8855,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-03,159.56,6.8859,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-06,159.68,6.8824,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-07,159.61,6.8609,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-08,158.58,6.836,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-09,158.94,6.8304,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-10,159.29,6.8305,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-13,159.44,6.83,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-14,158.77,6.8156,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-15,158.96,6.8188,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-16,159.18,6.823,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-17,158.61,6.8184,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-20,158.79,6.8172,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-21,159.37,6.8316,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-22,159.48,6.8288,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-23,159.71,6.8326,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-24,159.37,6.831,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-27,159.42,6.8275,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-28,159.61,6.8372,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-29,160.39,6.843,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-04-30,156.57,6.831,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-01,157.03,6.8273,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-04,157.22,6.83,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-05,157.87,6.83,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-06,156.39,6.8133,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-07,156.91,6.8068,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
