country_code,country_name,year,gdp_growth_pct,inflation_pct,energy_imports_pct,current_account_pct,oil_rents_pct_gdp,fuel_imports_pct,fuel_exports_pct,hormuz_dependency_score,_source,_fetched_at,_run_id
BHR,Bahrain,2022,6.18016125475185,3.62574104304482,-45.4751316679306,14.7198235888136,,4.0240764565252,0.0426131887253156,0.3874,WorldBank,2026-07-15T01:51:34.950001+00:00,20260715T015053Z
CHN,China,2023,5.41600334492955,0.234836828893051,23.9617588276826,1.40681103517507,,21.0332541381132,1.8075643209073,0.5652,WorldBank,2026-07-15T01:51:34.950001+00:00,20260715T015053Z
DEU,Germany,2023,-0.869647578573321,5.94643667725823,70.4874265375658,5.50327392607703,,8.65233705017107,2.0446709964022,0.4903,WorldBank,2026-07-15T01:51:34.950001+00:00,20260715T015053Z
FRA,France,2023,1.43921494437743,4.8783572650844,47.1279302986198,-1.04301703799496,,14.5629042234337,5.1259997747409,0.5404,WorldBank,2026-07-15T01:51:34.950001+00:00,20260715T015053Z
IND,India,2023,7.210224629335,5.64914318907925,36.0871843474496,-0.912777939495827,,33.2009829039382,20.7059082080863,0.655,WorldBank,2026-07-15T01:51:34.950001+00:00,20260715T015053Z
IRQ,Iraq,2014,2.26368817563613,2.23597407904726,-307.676202167834,6.94151191976759,46.6038527995508,22.8843296896423,99.8860619088129,0.4344,WorldBank,2026-07-15T01:51:34.950001+00:00,20260715T015053Z
ITA,Italy,2023,0.922796543670316,5.62219442195901,79.59805806701,0.251900586596722,,14.6992246882012,3.62874175899833,0.5494,WorldBank,2026-07-15T01:51:34.950001+00:00,20260715T015053Z
JPN,Japan,2023,0.720785304749811,3.26813365933163,87.2798853157027,3.61127531871255,,25.894896548225,1.77262134601493,0.613,WorldBank,2026-07-15T01:51:34.950001+00:00,20260715T015053Z
KOR,"Korea, Rep.",2023,1.58301467403629,3.5974562502901,84.6000911986392,1.76334472698699,,26.6678710042175,8.55361920375165,0.6229,WorldBank,2026-07-15T01:51:34.950001+00:00,20260715T015053Z
KWT,Kuwait,2022,6.75866711966617,3.98064961990313,-283.096624591869,34.3743300781264,,0.549235469145377,96.0382613795238,0.2124,WorldBank,2026-07-15T01:51:34.950001+00:00,20260715T015053Z
OMN,Oman,2022,7.98570728354278,2.5061425061425,-213.629416330893,3.65021452080103,,24.151039784692,74.0383980013691,0.4885,WorldBank,2026-07-15T01:51:34.950001+00:00,20260715T015053Z
PAK,Pakistan,2022,4.7781068690358,19.8738599646655,39.7925509388676,-3.25858181478804,,35.3089464121397,1.19408655456312,0.6775,WorldBank,2026-07-15T01:51:34.950001+00:00,20260715T015053Z
QAT,Qatar,2022,4.18500970982862,4.99527553740761,-396.072574936239,26.7778361978623,,1.72404279932948,87.2912521641352,0.2019,WorldBank,2026-07-15T01:51:34.950001+00:00,20260715T015053Z
SAU,Saudi Arabia,2022,12.0005874752929,2.47407371925372,-178.200448812201,11.7294510759777,,7.51651955072706,82.1937028956426,0.3694,WorldBank,2026-07-15T01:51:34.950001+00:00,20260715T015053Z
SGP,Singapore,2023,1.45026775889565,4.83372362825798,279.622693982082,16.3916456531586,,20.6710886667694,12.3816136808707,0.6108,WorldBank,2026-07-15T01:51:34.950001+00:00,20260715T015053Z
THA,Thailand,2023,2.24883437970568,1.22908986612448,57.5142566317877,1.64003832144024,,18.4207924251689,3.86700213725135,0.5604,WorldBank,2026-07-15T01:51:34.950001+00:00,20260715T015053Z
